ID,EMPRESA,SETOR,USO_AGUA,AREA,AREA_RESERVA,CO2_EMIT_DIR,CO2_EMIT_INDIR,CO2_REC,INSUMO_QUIMICO_LEG,INSUMO_QUIMICO_ORG,BIODIVERSIDADE,RESIDUO_REC,RESIDUO_COMP,RESIDUO_DESC,ENERGIA_REN,INDICE_SUSTENTABILIDADE
40.0,EMPRESA00490,CANA_ACUCAR,7.34,15160.1,6.41,7.59,4.94,13.88,3.94,3.59,10.44,21.14,33.21,13.07,6.69,0.57
41.0,EMPRESA00394,TRIGO,7.37,3489.21,3.49,9.02,3.59,9.8,3.12,4.03,7.32,15.32,11.91,15.39,78.38,0.49
42.0,EMPRESA00045,MILHO,6.91,28634.39,6.61,9.83,4.53,6.77,1.71,3.9,14.78,37.54,26.26,19.61,69.32,0.67
43.0,EMPRESA00216,MILHO,8.67,21698.55,3.92,4.38,3.76,9.69,1.54,6.32,7.74,34.16,14.12,12.39,68.28,0.54
44.0,EMPRESA00009,TRIGO,5.16,12093.5,5.02,4.24,9.26,5.75,2.07,9.85,9.84,20.46,23.41,9.48,93.3,0.58
45.0,EMPRESA00451,MILHO,3.62,29072.36,1.88,2.32,5.78,12.25,4.35,2.57,2.51,26.63,36.12,19.36,25.0,0.48
46.0,EMPRESA00159,CANA_ACUCAR,6.66,17904.42,3.92,2.29,7.4,10.27,5.24,3.38,9.45,17.04,28.78,18.62,52.02,0.53
47.0,EMPRESA00298,SOJA,5.54,23011.86,1.8,3.19,8.75,9.35,6.38,8.78,10.66,20.03,19.34,7.21,85.42,0.55
48.0,EMPRESA00231,MILHO,6.12,13101.71,3.06,5.74,9.33,7.18,9.5,2.83,6.54,37.82,15.58,7.96,71.3,0.54
49.0,EMPRESA00157,SOJA,5.92,19100.48,1.44,4.74,7.74,3.93,9.26,8.51,6.23,15.55,14.86,8.39,30.26,0.35
50.0,EMPRESA00480,MILHO,7.06,27926.13,7.88,2.45,2.28,3.9,3.97,3.71,17.46,17.34,15.62,9.26,64.76,0.54
51.0,EMPRESA00120,SOJA,4.3,17357.3,3.85,5.93,3.89,3.37,6.27,9.27,10.28,27.51,20.64,12.02,88.31,0.55
52.0,EMPRESA00122,CANA_ACUCAR,9.91,14791.8,7.3,6.32,4.8,11.96,5.33,6.33,11.52,34.3,24.28,16.16,7.46,0.6
53.0,EMPRESA00292,TRIGO,6.04,8792.34,3.48,3.54,7.6,8.68,6.06,8.55,11.31,14.4,34.06,7.91,20.48,0.49
54.0,EMPRESA00071,CANA_ACUCAR,9.74,20999.83,9.98,7.7,3.44,13.86,6.42,7.67,5.32,10.29,16.56,7.23,29.16,0.55
55.0,EMPRESA00470,CANA_ACUCAR,4.62,7363.67,6.44,9.93,3.31,12.35,2.73,2.52,5.24,10.76,31.31,5.94,75.0,0.56
56.0,EMPRESA00017,CANA_ACUCAR,6.55,2158.22,4.5,7.98,3.35,5.94,8.2,1.79,6.33,39.89,18.14,8.27,43.81,0.5
57.0,EMPRESA00218,MILHO,2.0,21195.41,2.39,7.68,6.12,8.18,9.29,5.3,8.33,20.86,16.65,12.82,75.13,0.51
58.0,EMPRESA00032,CANA_ACUCAR,9.62,833.67,2.33,8.19,4.77,7.82,7.75,5.38,7.88,13.89,35.9,8.28,55.96,0.51
59.0,EMPRESA00230,SOJA,9.84,10899.33,7.27,4.24,7.41,12.6,5.57,5.81,3.04,13.45,35.92,9.51,99.89,0.66
60.0,EMPRESA00421,SOJA,8.74,22523.25,1.11,6.76,3.74,7.11,7.84,3.39,1.69,26.59,36.06,10.59,72.35,0.51
61.0,EMPRESA00381,CANA_ACUCAR,6.86,25846.88,5.4,9.11,8.74,4.91,9.97,8.12,2.22,33.82,25.06,14.59,96.32,0.62
62.0,EMPRESA00459,SOJA,6.84,28325.02,6.03,8.3,4.59,14.22,4.07,6.12,12.73,15.56,23.09,16.15,22.69,0.56
63.0,EMPRESA00318,CANA_ACUCAR,5.05,2212.46,9.93,7.51,9.0,4.34,4.46,5.39,4.5,27.48,11.58,15.57,21.61,0.49
64.0,EMPRESA00393,TRIGO,8.78,12807.14,7.56,6.24,8.2,8.35,8.31,7.38,17.37,17.22,27.15,18.07,62.01,0.67
65.0,EMPRESA00432,SOJA,6.82,28610.74,1.43,4.32,5.41,14.32,2.9,3.48,14.8,17.97,39.09,14.82,29.33,0.57
66.0,EMPRESA00468,MILHO,2.12,21398.53,5.59,4.67,9.24,7.88,5.9,2.47,16.69,25.22,39.79,12.05,77.59,0.68
67.0,EMPRESA00231,SOJA,4.74,18513.26,9.86,2.02,9.35,9.77,2.88,8.75,7.43,31.88,34.23,17.88,36.76,0.65
68.0,EMPRESA00394,MILHO,6.33,396.35,1.76,1.63,6.4,8.39,2.4,5.34,8.11,34.8,39.08,16.19,49.14,0.56
69.0,EMPRESA00080,SOJA,5.17,6702.73,1.04,9.14,3.09,13.29,2.76,2.28,7.21,13.64,24.65,13.53,53.46,0.47
70.0,EMPRESA00245,SOJA,5.74,21776.15,9.48,9.22,6.98,7.79,7.59,4.82,16.51,30.65,10.23,11.64,26.57,0.59
71.0,EMPRESA00047,TRIGO,5.25,13269.29,9.65,2.49,6.19,4.24,8.66,8.49,16.58,38.1,18.9,14.05,68.51,0.68
72.0,EMPRESA00180,TRIGO,7.95,16016.58,9.29,6.25,7.52,2.54,7.37,6.43,15.07,38.24,35.57,13.82,24.24,0.65
73.0,EMPRESA00457,TRIGO,9.86,27633.38,2.88,3.43,6.45,6.33,9.78,2.43,19.96,16.49,34.95,13.91,15.62,0.53
74.0,EMPRESA00320,SOJA,8.34,23617.41,6.59,4.54,4.66,9.45,8.88,6.62,17.26,38.87,18.68,18.19,30.71,0.64
75.0,EMPRESA00083,MILHO,9.99,20052.65,7.44,7.2,4.57,9.68,8.36,9.34,3.14,24.98,15.63,17.24,49.68,0.55
76.0,EMPRESA00323,TRIGO,5.43,17.2,2.9,9.98,5.06,10.01,3.91,9.78,14.81,25.59,33.13,16.8,61.06,0.64
77.0,EMPRESA00130,MILHO,7.99,21011.38,2.07,2.57,2.69,11.64,2.64,9.89,18.58,12.74,32.31,7.9,65.72,0.59
78.0,EMPRESA00408,TRIGO,6.87,12230.21,2.49,7.78,8.22,6.38,1.09,9.14,2.1,28.44,37.36,11.24,52.74,0.51
79.0,EMPRESA00220,TRIGO,8.25,24150.4,8.73,5.01,8.39,12.29,3.33,2.96,19.8,31.42,29.27,10.54,71.74,0.77
80.0,EMPRESA00287,CANA_ACUCAR,4.8,23733.64,7.19,8.7,6.85,6.77,6.54,5.84,14.52,20.88,33.71,9.42,95.22,0.69
81.0,EMPRESA00158,CANA_ACUCAR,4.79,19934.19,5.49,9.93,3.33,4.83,6.93,6.14,7.63,10.44,31.04,17.21,50.09,0.49
82.0,EMPRESA00481,CANA_ACUCAR,7.37,22036.17,5.78,6.21,3.93,5.4,7.87,9.2,1.41,29.22,33.35,19.38,80.36,0.59
83.0,EMPRESA00104,SOJA,7.82,25138.55,2.4,5.13,8.14,3.79,2.68,2.4,17.01,28.5,13.07,12.54,33.29,0.46
84.0,EMPRESA00060,SOJA,7.39,21716.27,3.35,3.65,5.26,9.77,5.27,6.62,19.48,20.73,10.92,7.49,26.67,0.5
85.0,EMPRESA00160,SOJA,8.77,23908.44,3.26,6.52,5.75,11.28,5.54,4.89,5.78,12.78,27.45,5.42,55.52,0.5
86.0,EMPRESA00008,SOJA,8.7,27338.68,6.2,7.59,9.64,13.32,8.87,5.24,3.65,22.36,14.07,13.0,58.62,0.57
87.0,EMPRESA00058,TRIGO,7.21,5873.42,4.75,4.03,2.82,12.34,7.95,6.84,9.03,26.38,26.43,12.48,31.0,0.55
88.0,EMPRESA00092,SOJA,4.14,7617.08,3.43,7.65,3.98,14.69,1.8,9.46,3.68,15.27,13.24,18.86,13.36,0.42
89.0,EMPRESA00105,CANA_ACUCAR,8.24,19300.89,7.2,9.03,4.93,4.65,4.76,8.26,19.24,21.64,18.95,11.97,85.52,0.65
90.0,EMPRESA00013,CANA_ACUCAR,7.9,26176.88,7.44,9.86,4.7,8.52,4.82,9.79,17.14,31.3,15.22,5.26,37.48,0.62
91.0,EMPRESA00475,TRIGO,5.15,22094.97,3.76,5.81,2.51,3.73,6.49,1.25,13.24,26.93,38.76,6.0,51.83,0.54
92.0,EMPRESA00123,SOJA,9.02,4158.57,8.8,6.24,6.1,3.06,4.7,6.06,3.53,12.66,24.55,16.02,22.57,0.44
93.0,EMPRESA00358,SOJA,4.86,24045.34,8.66,2.05,3.29,11.58,9.47,3.62,9.78,39.41,28.23,8.76,30.1,0.63
94.0,EMPRESA00398,TRIGO,6.92,27433.09,1.11,9.24,3.86,14.35,9.72,4.82,19.75,29.64,19.98,7.76,61.98,0.64
95.0,EMPRESA00470,CANA_ACUCAR,8.36,15756.69,4.13,2.41,6.52,10.87,9.39,3.58,10.76,17.75,21.25,19.73,24.04,0.5
96.0,EMPRESA00127,TRIGO,7.17,25744.39,7.46,4.08,6.19,8.69,5.59,7.24,6.4,16.71,39.79,8.28,53.52,0.59
97.0,EMPRESA00115,SOJA,7.55,11044.89,8.42,4.92,5.35,10.43,5.46,8.63,17.97,12.72,21.7,15.14,39.43,0.61
98.0,EMPRESA00036,CANA_ACUCAR,8.48,10601.99,3.1,6.26,6.18,12.63,7.19,8.03,19.14,32.81,25.28,18.67,22.74,0.63
99.0,EMPRESA00305,MILHO,4.1,18383.53,8.42,8.45,7.68,8.07,2.09,2.28,15.15,39.57,12.91,18.56,41.92,0.62
100.0,EMPRESA00302,MILHO,8.68,26395.1,5.53,1.24,9.61,4.18,2.24,1.2,9.15,32.44,10.31,15.08,94.67,0.55
101.0,EMPRESA00082,CANA_ACUCAR,5.72,2476.93,6.0,2.49,4.67,8.45,1.83,1.97,14.85,35.21,39.88,19.22,96.48,0.73
102.0,EMPRESA00206,MILHO,4.91,1490.77,1.71,2.8,9.87,12.32,4.18,5.77,18.0,16.93,20.52,19.9,42.6,0.55
103.0,EMPRESA00263,CANA_ACUCAR,4.39,17101.09,4.12,4.71,3.65,12.46,2.77,8.64,18.25,13.35,13.92,14.51,13.34,0.48
104.0,EMPRESA00433,SOJA,7.59,2667.97,6.99,9.75,7.32,14.15,8.05,6.97,10.8,15.27,31.33,15.3,73.29,0.69
105.0,EMPRESA00148,TRIGO,7.17,17113.79,4.45,2.65,8.69,5.55,4.07,5.76,9.78,27.52,19.34,5.96,90.69,0.56
106.0,EMPRESA00379,TRIGO,6.59,16178.32,8.44,5.25,4.44,4.07,6.93,4.13,9.83,24.03,18.05,19.81,66.86,0.56
107.0,EMPRESA00357,TRIGO,8.23,19995.2,5.94,8.03,7.34,4.74,7.2,9.38,3.21,32.23,17.19,16.82,29.02,0.49
108.0,EMPRESA00027,CANA_ACUCAR,5.22,9928.84,8.1,7.43,3.81,7.56,9.93,7.88,10.57,23.31,19.33,6.18,62.34,0.6
109.0,EMPRESA00089,MILHO,8.36,27004.97,7.54,6.33,2.49,2.3,7.7,5.26,19.55,11.5,10.22,14.7,98.5,0.58
110.0,EMPRESA00198,CANA_ACUCAR,5.59,27220.85,1.39,7.21,4.78,4.85,7.42,3.02,15.34,25.62,35.26,8.37,87.77,0.58
111.0,EMPRESA00482,SOJA,8.1,22788.96,8.13,4.61,6.7,4.36,2.93,2.09,10.41,25.42,35.36,18.86,78.75,0.64
112.0,EMPRESA00056,SOJA,8.12,12860.63,6.46,4.15,8.23,14.27,2.72,1.33,4.04,34.07,27.28,9.12,44.96,0.6
113.0,EMPRESA00438,TRIGO,5.48,21010.14,9.12,5.87,3.56,14.11,9.67,9.58,4.3,24.99,35.07,19.36,60.13,0.69
114.0,EMPRESA00418,TRIGO,5.32,29115.76,6.73,6.26,8.27,8.35,8.07,5.88,6.1,24.83,28.28,10.78,62.98,0.59
115.0,EMPRESA00221,MILHO,9.47,4648.55,1.57,3.97,9.8,8.66,8.56,1.36,17.84,30.07,20.18,5.3,51.73,0.57
116.0,EMPRESA00387,CANA_ACUCAR,8.88,9961.6,8.35,4.87,7.56,9.09,9.93,7.65,15.66,37.95,15.05,11.8,73.23,0.72
117.0,EMPRESA00320,CANA_ACUCAR,7.47,26330.99,1.83,8.91,7.55,9.66,1.85,4.6,1.24,15.59,14.68,15.64,75.73,0.44
118.0,EMPRESA00157,MILHO,7.2,17721.84,2.18,9.25,7.93,11.66,6.19,7.53,5.15,35.44,18.74,19.7,41.75,0.54
119.0,EMPRESA00088,TRIGO,7.22,10075.97,7.71,8.34,2.53,5.59,9.68,3.16,14.97,38.39,12.07,9.89,82.24,0.65
120.0,EMPRESA00054,SOJA,9.27,7801.47,8.03,6.66,4.41,14.35,3.94,7.95,18.21,22.27,16.6,19.59,66.37,0.71
121.0,EMPRESA00037,CANA_ACUCAR,8.51,8348.53,4.83,4.96,9.92,8.31,7.35,7.92,8.8,33.07,20.64,17.79,30.81,0.55
122.0,EMPRESA00319,CANA_ACUCAR,9.97,15604.72,1.07,8.65,9.24,10.19,8.94,5.97,14.52,20.4,15.95,15.48,68.89,0.56
123.0,EMPRESA00096,CANA_ACUCAR,8.56,17828.96,7.39,3.76,5.3,9.83,7.21,8.72,16.75,24.7,12.34,15.16,20.92,0.57
124.0,EMPRESA00026,CANA_ACUCAR,7.49,1607.43,4.64,6.3,9.81,7.48,3.98,7.08,19.46,34.29,37.02,14.04,11.33,0.62
125.0,EMPRESA00074,MILHO,8.24,998.31,4.03,9.2,8.66,10.59,6.27,6.33,12.86,17.78,28.71,16.82,90.06,0.66
126.0,EMPRESA00271,MILHO,8.01,22317.19,7.96,7.67,2.46,8.57,3.65,2.24,2.62,26.89,12.42,16.84,65.87,0.52
127.0,EMPRESA00445,SOJA,5.92,7677.87,5.63,2.54,6.22,4.07,9.4,1.57,17.85,11.52,23.43,8.17,89.52,0.57
128.0,EMPRESA00314,TRIGO,5.21,6620.57,3.24,8.9,3.61,9.69,7.03,9.27,7.24,14.61,29.4,13.98,20.97,0.47
129.0,EMPRESA00146,TRIGO,6.25,5908.8,2.63,9.34,6.77,9.03,8.05,6.67,14.12,36.16,37.79,12.67,75.49,0.7
130.0,EMPRESA00113,CANA_ACUCAR,8.71,28639.57,7.53,2.29,9.12,14.33,1.93,5.21,15.7,10.69,26.4,14.48,25.47,0.6
131.0,EMPRESA00427,CANA_ACUCAR,4.82,9084.42,5.94,9.74,6.27,13.96,6.44,3.16,2.79,32.77,32.67,6.8,23.6,0.57
132.0,EMPRESA00250,MILHO,6.64,26029.55,4.97,8.03,8.15,7.26,7.9,6.52,7.42,14.31,37.84,16.82,93.37,0.63
133.0,EMPRESA00404,CANA_ACUCAR,7.06,12279.64,1.46,5.57,4.39,3.23,4.71,6.99,11.32,26.64,23.34,17.75,63.39,0.48
134.0,EMPRESA00321,MILHO,7.26,10520.25,1.26,4.54,5.78,12.98,5.37,6.35,19.99,22.8,16.4,17.34,72.67,0.62
135.0,EMPRESA00119,CANA_ACUCAR,7.71,18018.5,1.69,2.52,3.96,9.8,7.26,4.03,11.52,33.09,26.38,17.16,78.49,0.59
136.0,EMPRESA00239,CANA_ACUCAR,5.52,8721.34,4.59,2.58,7.64,6.86,7.56,6.48,7.8,28.88,13.71,5.09,5.08,0.41
137.0,EMPRESA00333,CANA_ACUCAR,4.3,23246.88,8.0,7.79,9.0,6.35,3.44,4.06,1.47,31.36,32.39,15.48,59.23,0.59
138.0,EMPRESA00044,MILHO,8.54,1898.01,7.46,5.02,9.09,5.48,4.5,5.48,10.73,28.88,23.43,7.68,50.93,0.58
139.0,EMPRESA00224,TRIGO,5.51,10722.54,8.95,3.69,8.77,12.73,4.63,1.59,6.4,36.41,22.01,9.68,13.0,0.57
140.0,EMPRESA00106,CANA_ACUCAR,8.11,2104.97,2.4,7.19,6.6,9.55,9.65,2.11,5.44,13.86,12.13,13.64,86.85,0.48
141.0,EMPRESA00480,MILHO,4.83,5221.23,5.44,5.98,2.92,13.84,8.15,9.81,2.43,20.6,20.51,16.27,90.43,0.6
142.0,EMPRESA00249,SOJA,4.14,29234.82,1.56,3.92,7.77,6.48,6.69,2.34,14.53,33.2,11.07,8.97,51.28,0.48
143.0,EMPRESA00437,MILHO,6.62,17905.62,4.96,2.0,2.38,2.67,5.95,1.82,5.8,23.45,17.91,14.5,90.36,0.48
144.0,EMPRESA00422,CANA_ACUCAR,5.68,18674.96,1.93,4.11,9.79,5.43,2.37,7.33,1.28,32.63,28.91,6.54,17.96,0.4
145.0,EMPRESA00337,CANA_ACUCAR,6.44,23965.48,2.52,8.08,8.59,4.89,2.29,4.46,7.62,17.07,37.32,7.28,14.49,0.42
146.0,EMPRESA00410,SOJA,4.27,8633.34,1.72,6.77,8.02,10.23,7.33,1.33,5.06,33.0,33.89,14.5,83.65,0.6
147.0,EMPRESA00310,MILHO,9.67,7625.83,6.84,9.74,9.34,9.67,8.14,7.39,10.48,25.69,27.5,12.05,34.56,0.62
148.0,EMPRESA00422,CANA_ACUCAR,9.65,27575.13,6.3,6.64,4.91,9.01,2.73,2.94,10.48,29.91,38.8,13.07,15.32,0.58
149.0,EMPRESA00368,SOJA,7.7,12892.28,8.45,3.94,6.29,10.01,2.64,3.84,19.19,16.18,32.13,19.36,92.33,0.73
150.0,EMPRESA00164,MILHO,6.63,9859.47,9.27,3.08,2.95,7.18,8.42,8.01,17.01,12.35,37.49,5.9,54.12,0.64
151.0,EMPRESA00100,TRIGO,6.63,22607.01,8.46,6.83,6.59,12.19,9.01,6.13,12.83,33.91,34.08,16.71,6.62,0.66
152.0,EMPRESA00230,TRIGO,5.68,17675.02,4.38,4.57,4.11,8.74,8.4,2.64,17.49,30.09,36.36,17.99,80.33,0.7
153.0,EMPRESA00417,MILHO,8.26,20822.96,8.33,4.55,4.63,13.33,9.57,5.35,19.01,15.09,12.75,9.56,33.02,0.6
154.0,EMPRESA00141,TRIGO,5.26,28969.78,8.58,9.87,8.44,3.19,7.69,5.98,2.05,12.55,19.76,5.51,42.57,0.44
155.0,EMPRESA00198,CANA_ACUCAR,8.1,6067.82,5.96,5.25,9.73,7.78,4.52,9.95,10.01,34.61,34.54,16.47,8.36,0.58
156.0,EMPRESA00466,SOJA,7.45,10179.79,7.39,4.6,6.92,3.87,4.51,3.14,8.02,27.84,34.49,17.09,12.5,0.51
157.0,EMPRESA00167,TRIGO,6.43,3504.8,1.13,9.36,4.97,10.63,2.68,7.9,19.9,39.47,29.97,6.05,5.38,0.58
158.0,EMPRESA00054,MILHO,9.54,19108.61,4.69,9.9,9.34,9.39,9.75,3.44,6.84,10.47,24.72,18.96,68.85,0.56
159.0,EMPRESA00415,CANA_ACUCAR,7.49,5092.08,1.18,9.04,9.2,8.71,6.88,6.61,14.81,12.24,28.69,6.71,13.29,0.46
160.0,EMPRESA00031,SOJA,6.45,3601.43,6.6,7.32,6.63,6.79,8.49,9.3,4.66,22.76,36.84,7.01,81.54,0.62
161.0,EMPRESA00145,SOJA,4.68,8972.96,4.65,4.11,6.45,12.83,1.93,9.24,7.5,39.77,20.02,15.78,15.81,0.54
162.0,EMPRESA00210,MILHO,7.06,14817.31,3.23,4.13,9.83,11.2,9.12,4.72,17.09,24.18,26.94,7.39,72.6,0.65
163.0,EMPRESA00016,TRIGO,9.3,7957.71,8.15,4.39,8.14,6.19,2.11,1.58,4.42,25.13,22.28,14.01,64.79,0.54
164.0,EMPRESA00132,CANA_ACUCAR,8.98,27244.48,7.62,6.75,5.05,4.57,7.53,9.89,4.95,23.51,24.61,10.04,50.38,0.54
165.0,EMPRESA00382,MILHO,9.29,19771.16,8.1,9.47,8.8,12.88,7.78,1.57,1.54,37.03,14.22,14.64,93.85,0.68
166.0,EMPRESA00409,MILHO,6.39,11737.26,1.71,9.97,8.23,6.63,8.57,4.86,11.9,15.91,39.64,18.36,64.84,0.58
167.0,EMPRESA00386,TRIGO,9.51,14822.33,3.07,5.05,4.19,9.86,4.57,7.88,2.16,34.54,33.94,17.44,18.51,0.51
168.0,EMPRESA00477,CANA_ACUCAR,8.7,23893.46,8.53,9.06,9.32,6.28,3.63,5.45,2.4,13.58,35.04,19.1,46.33,0.55
169.0,EMPRESA00223,CANA_ACUCAR,8.93,17355.3,4.56,6.41,6.94,6.46,3.08,5.77,16.83,30.89,22.73,15.09,42.48,0.58
170.0,EMPRESA00212,TRIGO,8.15,1873.57,5.93,3.74,5.56,8.96,1.41,2.43,1.8,11.33,19.78,10.46,96.84,0.5
171.0,EMPRESA00067,TRIGO,6.66,22701.82,8.97,7.21,7.7,4.2,1.3,2.54,6.85,39.41,30.36,8.96,67.58,0.63
172.0,EMPRESA00367,CANA_ACUCAR,4.12,19020.55,1.1,3.81,8.71,14.03,4.25,7.78,7.15,26.28,16.75,9.01,82.26,0.54
173.0,EMPRESA00116,CANA_ACUCAR,7.74,25105.93,8.54,7.84,6.19,7.06,7.3,4.8,7.35,30.47,12.44,16.62,73.94,0.61
174.0,EMPRESA00231,TRIGO,9.65,24675.69,7.05,2.26,9.5,10.71,4.8,7.86,5.35,38.24,20.29,15.0,46.62,0.61
175.0,EMPRESA00009,MILHO,5.08,25193.05,8.01,1.46,8.22,7.4,8.43,6.78,7.35,20.39,30.0,11.84,31.37,0.54
176.0,EMPRESA00263,CANA_ACUCAR,7.33,17852.14,5.98,9.78,7.89,11.56,6.46,4.31,1.4,34.12,22.91,8.7,73.32,0.61
